Catalogue_Number,Genus_species,Name_in_Tree,Species,Taxon_Rank,Vernacular_name,Institution,Institution_Code,Locality,Latitude,Longitude,Country,AUS_State
J66966,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Black Mt, 4.5 km N Mt Spurgeon",-16.4,145.2,Australia,Queensland
J42249,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Thornton Peak, 11 km NE of Daintree",-16.165343,145.373128,Australia,Queensland
J42246,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Thornton Peak, 11 km NE of Daintree",-16.165343,145.373128,Australia,Queensland
J41201,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,4.5-5Km W of Cape Tribulation,-16.083333,145.433333,Australia,Queensland
J67103,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Mt Spurgeon, 7km N",-16.366667,145.216667,Australia,Queensland
J42250,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Thornton Peak, 11 km NE of Daintree",-16.165343,145.373128,Australia,Queensland
J67108,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Black Mt, 4.5km N Mt Spurgeon",-16.4,145.2,Australia,Queensland
J71044,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Daintree NP, Thornton Ck",-16.158333,145.375,Australia,Queensland
J27260,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan NP,-15.833333,145.266667,Australia,Queensland
J60811,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Hemmant,-16.116667,145.416667,Australia,Queensland
J60810,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Hemmant,-16.116667,145.416667,Australia,Queensland
J25303,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan NP,-15.819444,145.280556,Australia,Queensland
J18807,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis Summit,-16.583333,145.283333,Australia,Queensland
J58114,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Upper Roaring Meg,-16.066667,145.416667,Australia,Queensland
J60814,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Hemmant,-16.116667,145.416667,Australia,Queensland
J72879,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Mt Sorrow, Cape Tribulation, transect",-16.078889,145.433056,Australia,Queensland
J60720,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Mt Lewis Rd, 16.5km Jct W/Mossman- Mt Molloy Rds",-16.570833,145.269444,Australia,Queensland
J60812,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Hemmant,-16.116667,145.416667,Australia,Queensland
J58115,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Upper Roaring Meg,-16.066667,145.416667,Australia,Queensland
J30746,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Thornton Peak NP,-16.165343,145.373128,Australia,Queensland
J59639,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Carbine Tableland, plane crash site",-16.4075,145.272222,Australia,Queensland
J58105,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Halcyon (summit),-16.05,145.416667,Australia,Queensland
J27273,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan,-15.833333,145.266667,Australia,Queensland
J18810,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis Summit,-16.583333,145.283333,Australia,Queensland
J27057,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Mt Lewis, via Mt Molloy",-16.583333,145.283333,Australia,Queensland
J27272,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan,-15.833333,145.266667,Australia,Queensland
J27261,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan NP,-15.833333,145.266667,Australia,Queensland
J25304,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan NP,-15.819444,145.280556,Australia,Queensland
J27263,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finlay,-15.8,145.35,Australia,Queensland
J25302,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan NP,-15.819444,145.280556,Australia,Queensland
J42240,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"The Bluff, 11Km W of Mossman",-16.416667,145.266667,Australia,Queensland
J46008,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan Summit,-15.816667,145.283333,Australia,Queensland
J64532,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Spurgeon,-16.466667,145.2,Australia,Queensland
J18809,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis Summit,-16.583333,145.283333,Australia,Queensland
J71045,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Daintree NP, Thornton Ck",-16.158333,145.375,Australia,Queensland
J27059,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Mt Lewis, via Mt Molloy",-16.583333,145.283333,Australia,Queensland
J79446,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Thornton Peak (summit),-16.166667,145.372222,Australia,Queensland
J25305,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan NP,-15.819444,145.280556,Australia,Queensland
J25256,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Horan Ck area, Mt Finnigan NP",-15.819444,145.280556,Australia,Queensland
J79447,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Thornton Peak (summit),-16.166667,145.372222,Australia,Queensland
J51923,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Mt Finnigan summit, via Helenvale",-15.824,145.276,Australia,Queensland
